expirationDate,baseType,vin,date,make,model,year,gas1,gas2,identifier,mpg
01/02/2021,BLACK-CAR,4T1BF1FK0FU051596,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,2T3RFREV5JW807495,2018-01-02,TOYOTA,RAV4,2018,Gasoline,,toyotarav42018g,24.8
01/02/2021,BLACK-CAR,1C3CCCAB1GN106514,2018-01-02,CHRYSLER,200,2016,Gasoline,,chrysler2002016g,23
01/02/2021,BLACK-CAR,1GYS4HKJ9JR100462,2018-01-02,CADILLAC,Escalade ESV,2018,Gasoline,Ethanol (E85),cadillacescalade2018h,
01/02/2021,BLACK-CAR,1GNSKHKC6HR383420,2018-01-02,CHEVROLET,Suburban,2017,Gasoline,Ethanol (E85),chevroletsuburban2017h,15.5
01/02/2021,BLACK-CAR,4T1B61HK3KU176390,2018-01-02,TOYOTA,Camry,2019,"",,toyotacamry2019na,
01/02/2021,BLACK-CAR,3N1AB7AP2EY250441,2018-01-02,NISSAN,Sentra,2014,Gasoline,,nissansentra2014g,29
01/02/2021,BLACK-CAR,4T1BF1FK9FU095130,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,4T1BF1FK6FU077071,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,4T1BF1FK7GU199570,2018-01-02,TOYOTA,Camry,2016,Gasoline,,toyotacamry2016g,32
01/02/2021,BLACK-CAR,4T1B11HK0JU642239,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,2G61M5S37H9113638,2018-01-02,CADILLAC,XTS,2017,Gasoline,,cadillacxts2017g,16.2
01/02/2021,BLACK-CAR,4T1B31HK6JU505168,2018-01-02,TOYOTA,CAMRY HYBRID,2018,Gasoline,Electric,toyotacamry2018h,
01/02/2021,BLACK-CAR,5TDYZ3DC1HS877846,2018-01-02,TOYOTA,Sienna,2017,Gasoline,,toyotasienna2017g,18.5
01/02/2021,BLACK-CAR,1C4SDJCT8FC917686,2018-01-02,DODGE,Durango,2015,Gasoline,,dodgedurango2015g,14
01/02/2021,BLACK-CAR,1HGCR2F37EA220495,2018-01-02,HONDA,Accord,2014,Gasoline,,hondaaccord2014g,26.4285714285714
01/02/2021,BLACK-CAR,4T1BF1FK1HU411574,2018-01-02,TOYOTA,Camry,2017,Gasoline,,toyotacamry2017g,31.75
01/02/2021,BLACK-CAR,4T1BF1FK7HU331857,2018-01-02,TOYOTA,Camry,2017,Gasoline,,toyotacamry2017g,31.75
01/02/2021,BLACK-CAR,5N1DL0MM6JC510791,2018-01-02,INFINITI,QX60,2018,Gasoline,,infinitiqx602018g,19.5
01/02/2021,BLACK-CAR,2C4RDGCG9CR205176,2018-01-02,DODGE,Grand Caravan,2012,Flexible Fuel Vehicle (FFV),,dodgegrand2012h,17
01/02/2021,LIVERY,4T1BF1FK4HU783135,2018-01-02,TOYOTA,Camry,2017,Gasoline,,toyotacamry2017g,31.75
01/02/2021,BLACK-CAR,1GNSCJE09DR122850,2018-01-02,CHEVROLET,Suburban,2013,Flexible Fuel Vehicle (FFV),,chevroletsuburban2013h,15
01/02/2021,BLACK-CAR,5NPEC4AC3EH923113,2018-01-02,HYUNDAI,Sonata,2014,Gasoline,,hyundaisonata2014g,28.75
01/02/2021,BLACK-CAR,4T1BD1FK3DU072820,2018-01-02,TOYOTA,Camry,2013,Gasoline,Electric,toyotacamry2013h,
01/02/2021,BLACK-CAR,4T1B11HK3JU563390,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,4T1BF1FK2EU323175,2018-01-02,TOYOTA,Camry,2014,Gasoline,,toyotacamry2014g,32
01/02/2021,BLACK-CAR,5TDBKRFH8FS133860,2018-01-02,TOYOTA,Highlander,2015,Gasoline,,toyotahighlander2015g,22.4
01/02/2021,BLACK-CAR,5TDBKRFHXFS106398,2018-01-02,TOYOTA,Highlander,2015,Gasoline,,toyotahighlander2015g,22.4
01/02/2021,BLACK-CAR,4T1BF1FK8FU985554,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,4T1BF1FK4FU486962,2018-01-02,TOYOTA,Camry,2015,Gasoline,,toyotacamry2015g,32
01/02/2021,BLACK-CAR,5NPE24AF9JH724929,2018-01-02,HYUNDAI,Sonata,2018,Gasoline,,hyundaisonata2018g,30
01/02/2021,BLACK-CAR,5NMS2CAD8KH023258,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD6KH020195,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD2KH020209,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD1KH018273,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD6KH020312,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD3KH020980,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD8KH017072,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD1KH016538,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD6KH020231,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD6KH019984,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD1KH023358,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD1KH020895,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,1N4AL3AP5GC222914,2018-01-02,NISSAN,Altima,2016,Gasoline,,nissanaltima2016g,25
01/02/2021,BLACK-CAR,1N4AL3AP5EC315977,2018-01-02,NISSAN,Altima,2014,Gasoline,,nissanaltima2014g,24.5
01/02/2021,BLACK-CAR,4T1BE46K38U761647,2018-01-02,TOYOTA,Camry,2008,Gasoline,,toyotacamry2008g,
01/02/2021,BLACK-CAR,1N4AL3AP7GN309895,2018-01-02,NISSAN,Altima,2016,Gasoline,,nissanaltima2016g,25
01/02/2021,BLACK-CAR,3N1AB7AP2GY305571,2018-01-02,NISSAN,Sentra,2016,Gasoline,,nissansentra2016g,28.6666666666667
01/02/2021,BLACK-CAR,5NMS23AD2KH023059,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD5KH022830,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5NMS23AD5KH022035,2018-01-02,HYUNDAI,Santa Fe,2019,Gasoline,,hyundaisanta2019g,19.125
01/02/2021,BLACK-CAR,5TDZK3DC5ES422518,2018-01-02,TOYOTA,Sienna,2014,Gasoline,,toyotasienna2014g,17
